Function,Best Solution,Best Fitness,Execution Time,Step Size,Domain,Iterations,Result,Domain_left,Domain_right,Domain_range,Domain_quantile,Step_Size_quantile
rastrigin,"[0.0017, -0.0013]",0.0009,0.002,0.3,"[-1.3408, 0.6329]",33,good,-1.3408,0.6329,1.9737,1,1
rastrigin,"[1.9899, 0.0]",3.97983,0.007,0.3,"[-0.1813, 2.0283]",186,bad,-0.1813,2.0283,2.2096,1,1
rastrigin,"[0.0, -0.995]",0.99496,0.0065,0.7,"[-3.14, 0.1736]",187,bad,-3.14,0.1736,3.3136,3,5
rastrigin,"[0.0014, 0.0017]",0.00094,0.002,0.6,"[-0.5392, 0.3247]",34,good,-0.5392,0.3247,0.8639,0,4
rastrigin,"[-0.0, -0.995]",0.99496,0.0265,0.1,"[-4.92, 3.3379]",175,bad,-4.92,3.3379,8.2579,14,0
rastrigin,"[-0.995, -0.995]",1.98992,0.006,0.4,"[-2.2595, 3.8847]",186,bad,-2.2595,3.8847,6.1442,9,2
rastrigin,"[-0.995, -1.9899]",4.97479,0.0061,0.8,"[-3.2407, 0.1792]",181,bad,-3.2407,0.1792,3.4198999999999997,3,6
rastrigin,"[-0.995, -0.0]",0.99496,0.007,0.6,"[-1.211, 0.4552]",188,bad,-1.211,0.4552,1.6662000000000001,0,4
rastrigin,"[0.995, 0.995]",1.98992,0.0085,0.6,"[-4.4273, 2.1873]",173,bad,-4.4273,2.1873,6.614599999999999,10,4
rastrigin,"[3.9798, -0.995]",16.9142,0.006,0.3,"[-1.9344, 4.6154]",183,bad,-1.9344,4.6154,6.5498,10,1
rastrigin,"[0.995, -0.0]",0.99496,0.007,0.7,"[-3.9816, 4.1171]",186,bad,-3.9816,4.1171,8.0987,13,5
rastrigin,"[-0.995, -0.995]",1.98992,0.0061,0.6,"[-4.5559, 0.7877]",177,bad,-4.5559,0.7877,5.3436,8,4
rastrigin,"[0.001, 0.0016]",0.00068,0.0016,1.0,"[-0.6845, 2.9428]",48,good,-0.6845,2.9428,3.6273,3,8
rastrigin,"[-0.0011, -0.0013]",0.00059,0.0013,1.0,"[-4.8748, 3.9137]",44,good,-4.8748,3.9137,8.788499999999999,14,8
rastrigin,"[-1.9899, -2.9849]",12.93443,0.0065,0.1,"[-4.8878, 0.0345]",204,bad,-4.8878,0.0345,4.922300000000001,7,0
rastrigin,"[-0.0018, -0.0013]",0.001,0.0021,0.8,"[-0.6497, 0.3403]",33,good,-0.6497,0.3403,0.99,0,6
rastrigin,"[-2.9849, 0.995]",9.94956,0.0066,0.5,"[-4.1808, 3.0084]",194,bad,-4.1808,3.0084,7.1892,12,3
rastrigin,"[-0.0016, 0.0012]",0.0008,0.002,0.6,"[-0.1168, 2.4328]",32,good,-0.1168,2.4328,2.5496,1,4
rastrigin,"[1.9899, -0.995]",4.97479,0.0091,0.6,"[-1.9841, 4.7925]",189,bad,-1.9841,4.7925,6.7766,11,4
rastrigin,"[0.0017, 0.0013]",0.00088,0.001,0.7,"[-4.0515, 4.4432]",37,good,-4.0515,4.4432,8.4947,14,5
rastrigin,"[0.0007, 0.0007]",0.0002,0.002,0.2,"[-0.7184, 2.099]",43,good,-0.7184,2.099,2.8174,2,0
rastrigin,"[-0.995, -0.0]",0.99496,0.0061,0.8,"[-3.4259, 0.4354]",180,bad,-3.4259,0.4354,3.8613,4,6
rastrigin,"[0.0, 0.995]",0.99496,0.006,0.5,"[-0.6613, 3.7812]",186,bad,-0.6613,3.7812,4.4425,6,3
rastrigin,"[-0.995, 0.995]",1.98992,0.0062,0.4,"[-1.1372, 2.3664]",200,bad,-1.1372,2.3664,3.5036,3,2
rastrigin,"[-0.0, -3.9798]",15.91924,0.0077,0.4,"[-4.5681, 1.6599]",221,bad,-4.5681,1.6599,6.228,9,2
rastrigin,"[-0.0016, -0.0015]",0.00094,0.001,1.0,"[-3.7575, 3.9485]",42,good,-3.7575,3.9485,7.7059999999999995,13,8
rastrigin,"[1.9899, -1.9899]",7.95966,0.0055,0.2,"[-3.1307, 3.3668]",179,bad,-3.1307,3.3668,6.4975000000000005,10,0
rastrigin,"[1.9899, -1.9899]",7.95966,0.006,0.3,"[-2.5763, 3.5865]",179,bad,-2.5763,3.5865,6.1628,9,1
rastrigin,"[-0.0017, -0.0011]",0.00078,0.0021,1.0,"[-3.4926, 4.6499]",40,good,-3.4926,4.6499,8.1425,14,8
